project_id,option_id,option_number,num_modules,module_wp,module_source,total_kwp,battery_kwh,battery_brand,battery_name,num_battery_units,has_battery,inverter_kw,inverter_brand,has_wallbox_design,wallbox_kw,wallbox_brand,has_heatpump,heatpump_kw,technologies,roof_type,primary_brand,num_brands,has_energy_manager,has_smart_meter,has_optimizer,has_surge_protection,has_scaffolding,has_meter_cabinet,total_line_items,count_InstallationFee,count_ServiceFee,count_Other,count_AccessoryToModule,count_AccessoryToBatteryStorage,count_AccessoryToInverter,count_AccessoryToWallbox,customer_contact_id,request_created_at,offer_created_at,first_signed_at,country,energy_demand_wh,energy_price_per_wh,energy_price_increase,energy_price_with_flexible_tariff,base_price_per_month,base_price_increase,load_profile,load_profile_editor_id,has_ev,ev_annual_drive_distance_km,has_solar,solar_size_kwp,solar_angle,solar_orientation,solar_built_year,solar_feedin_renumeration,solar_feedin_renumeration_post_eeg,has_storage,storage_size_kwh,storage_built_year,has_wallbox,wallbox_charge_speed_kw,heating_existing_type,heating_existing_cost_per_year,heating_existing_cost_increase_per_year,heating_existing_electricity_demand_kwh,heating_existing_heating_demand_wh,house_size_sqm,house_built_year,num_inhabitants,dataset_source,energy_demand_kwh,energy_price_ct_kwh,offer_date,offer_month
00125a736139dec1,411e51a1809fc410,1,15.0,450.0,Substructure,6.75,10.0,EcoFlow,Battery LFP 10kWh,1.0,True,0.0,none,False,0.0,none,False,0.0,"ses,solar",Flat Roof,EcoFlow,1,False,False,False,False,True,True,12,5,3,0,1,0,0,0,ad515e4b6e354c0b,,2025-06-30 13:02:29.137000,2025-07-17 11:01:51.553000,Germany,6000000.0,0.00035,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,6000.0,34.99999999999999,2025-06-30 13:02:29.137,2025-06
001f8d72ca6d5f9a,3f505670e34c6c52,1,13.0,450.0,Substructure,5.85,7.0,Huawei,Battery 7kWh,1.0,True,0.0,none,False,0.0,none,False,0.0,"ses,solar,wallbox",Concrete Tile Roof,Huawei,2,False,False,False,False,True,True,16,5,4,2,1,1,0,0,189ae5e3eca62df6,,2025-02-20 11:11:11.517000,2025-03-06 09:54:26.554000,Germany,4300000.0,0.00032,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,4300.0,32.0,2025-02-20 11:11:11.517,2025-02
00345f7fbc8fa732,32a4fb76e0f369e8,1,16.0,450.0,Substructure,7.2,7.0,Enphase,Battery 3kWh Modular,2.0,True,0.0,none,True,22.0,Huawei,False,0.0,"ses,solar,wallbox",Clay Roof,Enphase,2,False,False,False,True,True,True,20,6,2,3,1,2,2,0,a62ad91be04e2483,,2024-07-10 09:36:53.312000,2024-07-10 10:14:19.557000,Germany,5000000.0,0.00045,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,5000.0,45.0,2024-07-10 09:36:53.312,2024-07
006038887b0464ff,dd127e588cf2408b,1,22.0,450.0,Substructure,9.9,10.0,Enphase,Battery 5kWh Flex Phase,2.0,True,0.0,none,False,0.0,none,False,0.0,"ses,solar",Clay Tile Roof,Enphase,1,False,False,False,True,False,True,14,5,3,1,1,0,2,0,070c78d2549fa776,,2025-03-07 11:00:44.098000,2025-04-25 13:48:17.918000,Germany,8500000.0,0.00032,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,8500.0,32.0,2025-03-07 11:00:44.098,2025-03
00a278f43d641223,01d82886ca49c08c,1,67.0,450.0,CompletePackage,30.15,18.0,Sigenergy,Sigenergy AIOS Battery 9kWh,2.0,True,0.0,none,True,11.0,Sigenergy,False,0.0,"ses,solar,wallbox",Unknown,Sigenergy,1,False,False,False,False,False,False,9,4,2,0,0,0,0,0,75c2eb5ee8604776,2025-12-02 07:00:09.100000,2025-12-22 13:42:16.264000,2026-04-02 14:39:37.405000,Germany,11000000.0,0.00023,0.04,0.00022,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,23c108b7,11000.0,23.0,2025-12-22 13:42:16.264,2025-12
011eb4d8baff96ee,5899fade0d40b9bc,1,14.0,450.0,Substructure,6.3,0.0,none,none,0.0,False,0.0,none,False,0.0,none,False,0.0,solar,Concrete Tile Roof,Huawei,1,True,False,True,False,True,True,15,7,3,0,3,0,0,0,eda7173eb023a7d0,,2025-06-04 06:59:26.648000,2025-07-04 16:22:25.490000,Germany,3700000.0,0.00029,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,3700.0,29.0,2025-06-04 06:59:26.648,2025-06
0148dd313caa3804,67e2e49b2c09a892,1,18.0,450.0,Substructure,8.1,5.0,Huawei,Battery 5kWh,1.0,True,0.0,none,False,0.0,none,False,0.0,"ses,solar",Concrete Roof,Huawei,1,True,False,True,False,True,True,15,5,2,0,4,0,0,0,7d18b27ffe11adca,,2024-10-16 11:43:44.360000,2024-10-21 17:27:01.365000,Germany,8000000.0,0.00032,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,8000.0,32.0,2024-10-16 11:43:44.360,2024-10
0157ee5f62f71e96,8cf2745e28e5ebcf,1,44.0,450.0,Substructure,19.8,10.0,EcoFlow,Battery LFP 10kWh,1.0,True,0.0,none,False,0.0,none,False,0.0,"ses,solar",Clay Tile Roof,EcoFlow,2,False,False,False,False,False,True,13,5,4,0,1,0,1,0,66602ca5e3e6dca4,,2025-01-30 09:57:05.150000,2025-02-20 09:37:28.765000,Germany,8000000.0,0.00032,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,8000.0,32.0,2025-01-30 09:57:05.150,2025-01
0165919d81dfd77e,524ec9d5e4aa6a14,1,35.0,450.0,Substructure,15.75,30.0,Huawei,Battery 15kWh,2.0,True,0.0,none,False,0.0,none,False,0.0,"ses,solar",Concrete Roof,Huawei,1,True,False,True,True,True,True,18,6,2,2,4,0,0,0,83c8d14ca317380a,,2024-08-07 09:15:32.762000,2024-08-08 09:06:49.517000,Germany,10000000.0,0.00032,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,10000.0,32.0,2024-08-07 09:15:32.762,2024-08
01961e5db330bdd8,4075260216c28a5d,1,0.0,0.0,none,0.0,0.0,none,none,0.0,False,0.0,none,True,22.0,Huawei,False,0.0,wallbox,Unknown,Huawei,1,False,False,False,False,False,False,4,1,2,0,0,0,0,0,cb849dc858759bb5,,2025-07-16 14:25:04.089000,2025-07-22 09:05:08.063000,Germany,4500000.0,0.00032,0.03,,,,H0,,False,,False,,,,,,,False,,,False,,,,,,,,,,2a8ba8e2,4500.0,32.0,2025-07-16 14:25:04.089,2025-07
